Date;Subject Line;Breaking News;Email title;Article Title;Article Descriptions;News Titles;News Descriptions;California Magazines Titles;California Magazine Title Descriptions;Event Titles;Event Desciptions
Apr-20;Scenes at the ER, scholarship awards, opportunities to connect online;0;0;"How to support students at UC Berkeley during the Coronavirus Pandemic.
Elijah Hicks and Friends Make Game-Changing Plays forÊHungry Kids. 
Support Cal Students and Evaluate Scholarship ApplicationsÑfrom Home.
Berkeley Scientists Spin Up a Robotic COVID-19 Testing Lab.";0;0;0;"WhatÕs It Like in the ER These Days?Ê
Reporter Describes Life on the Frontlines of Wuhan.
Is ÔTheyÕ Here to Stay?
Violence ÒLike Crawling on Broken GlassÓ: The Aftermath of Gun.";0;"Creating Informed Responses: BerkeleyÕs Computing and Data Science In Action.
Coronavirus: Science and Solutions.
Cal Esports Virtual Open House.
Career Advancement: Tips for Managing Others.
Professional Success in Healthcare + Medicine.
All Cal Athletics Competitions Suspended.";0
August 6 2020;"Tech for students; community leader Mitzi Iniguez Õ09; Homecoming,
reimagined";0;0;"Success Is What Your Community Makes It: Mitzi Iniguez Õ 09.
What New Berkeley Students Need to Know About Fall 2020.
Young Bears Find Support in COVID-Era Job Search.
The Edge Episode 3: I Know Where You Live.";0;0;0;0;0;"Who Are We Now? 
Fireside Chats at the Lair of the Golden Bear.
Meet New Cal Students at Summer. Welcome Parties.
Volunteer: Leadership Award Scholarship Finalist Interviews. 
UC Berkeley's Falltopia 2020.
Reunion and Parents Weekend at Homecoming.";1
August 20 2020;Pac-12 season postponed, Homecoming updates, plus more virtual events;Breaking News: Pac-12 postpones sport competitions through 2020 ;0;"Breaking News: Pac-12 postpones sport competitions through 2020.
Who are you now? Maria Smith Õ19 asks us to look inward.
Favorite travel lit from Cal Discoveries TravelÕs tour lecturers.
Biased algorithms exacerbate racial inequality in health care.
Savala Nolan Trepczynski Õ11: Say Their Names: Breonna Taylor, My Great-Great-Grandmother, and Me.
";0;0;0;0;0;"Falltopia 2020.
John Lewis: Good Trouble, a Cal Alumni. Association Virtual Cinema Event.
2020 Austin Ivy Plus Virtual Speaker Series.
Berkeley China Summit.
Reunion and Parents Weekend at Homecoming.";1
Dec-19;The Axe is back in Berkeley, bowl game projections, TEDx on campus;0;Celebrating stories from Berkeley.;"Cal Ends Big Game Losing Skid and Qualifies for Bowl with Win Over Stanford.
Aaliyah Karunaratne Õ21: Creating Opportunities 
for Education.
Community-Builder Omotara Oloye Õ21.";1;"Cal Football Bowl Projections.
Cal Alumni Association Chapters Co-host 2019 Berkeley China Summit.
Access to Opportunity: Alishba Sardar Õ23.
The Achievement Award Program: Origins. 
Former Head of Levi Strauss & Co. Robert D. Haas Õ64 Selected as Winter Commencement Speaker.
UC Berkeley Library Launches Scanning. Service to Make Materials More Accessible 
Achievement Award Nominations.
The Cal Alumni Association Transfers. Ownership of Pinecrest Chalet to 2014 Matthew Trust.
Make a gift to the Cal Alumni Association.";1;"At BerkeleyÕs California Typewriter, the Selectrics Keep Humming. 
Vaping Illnesses Are on the Rise. HereÕs What We Know So Far. 
ThereÕs an App for That! Earthquake Early Warning Is Here. 
Robert Meltzer Died Fighting Fascism. Then He Was Blacklisted. ";0;"Bear Music Fest Discover.
Winter Hi-BEAR-Nation Holiday Party.
Cal Externship Program.
Cal vs. Stanford WomenÕs Basketball Hoops Party.
Cal Night at the San Jose Sharks.
TEDxBerkeley 2020: Moonshot.
Cal vs. Arizona Basketball Hoops Party.";1
Feb-20;Women at Cal, a Rhodes Scholar, and a drag queen;0;Reconnect with Berkeley.;"ÔOn Equal TermsÕ: UC Berkeley Celebrates 150 Years Since Women Were First Admitted.
CalÕs Basketball Coaches Build a Winning Culture, On and Off the Court.";1;"Namrata Ramesh Õ20 Selected as 2020 Rhodes Scholar.
UC BerkeleyÕs Oral History Center Documents Memories of the Holocaust.
Clara Mokri Õ21 Wins Dorothea Lange. Fellowship for Her Stories of People on the Fringe.
Professor Emerita Christina Maslach Receives National Academy of Sciences Award for Scientific Reviewing.
Save the Date for Big Give.";1;"The Real Life Black Mirror?
A Massive Project Sheds Light on CaliforniaÕs Criminal Cops.
Q&A: Speculative Fiction and our Dystopian Present.
D.A. by Day, Drag Queen by Night.";0;"Cal vs. Arizona Basketball Hoops Party.
Cal at the Golden State Warriors.
Career Connections.
First Generation Career Conference.
Legacy Night.
TEDxBerkeley 2020: Moonshot.
Peter Yarrow and Noel Paul Stookey.";1
Jan-20;RedBox Bowl victory, Parkland shooting survivor, a class for adulting;0;Celebrate the new year with Golden Bears around the world.;"Bears Overwhelm Illinois to Win Redbox Bowl.
Cris Gomez Õ15: Veteran Continues to Serve at Cal.
Winter Commencement Puts Focus on Justice.";1;"Highlights from UC BerkeleyÕs 2019. 
After Parkland Shooting, Kai Koerber Õ23. Fights for Mental Health Resources in Schools.
Chancellor Christ Confronts Challenges in Campus Space and Diversity.
Berkeley Talks: Supreme Court Justice Ruth Bader Ginsburg on Overcoming the Odds
Diversity Initiatives Help Change the Face of Berkeley Computer Science.
Thank You for Giving in 2019.";0;"Blood Work: The Citizen Sleuth Using Genealogy to ID the Dead.
It Was the Best Day of His Life. Then Everything.
To Like or Not to Like: Will Killing the ÒLikeÓ Button Save Insta? 
The Art of Adulting: A Student-Led Class Draws Hundreds.";0;"Cal vs. Stanford WomenÕs Basketball Hoops Party
Cal Night at the San Jose Sharks
Cal vs. Arizona Basketball Hoops Party 
Golden Bear Orientation: Alumni-Student Mixer
Prepare and Serve Dinner for Portland Transitions Project 
Kapp Scholarship Luncheon
First Generation Career Conference
TEDxBerkeley 2020: Moonshot";1
July 9 2020;Changemakers at Berkeley, online summer activities, and more.;Meet UC's next President, Michael V. Drake M.D.;Introducing Alumna of the Year Freada Kapor Klein Õ74 ;"She Was A VictimsÕ Advocate Long Before #MeToo.
Meet UC's Next President, Michael V. Drake M.D. 
Soumya Karlamangla Õ13 Reports on the Front Lines of COVID-19.
Alumni Create Career Opportunities for the Cal Community.
LISTEN: Welcome to The Edge.
Descended from Slaves and a US President: One Family's Story.";0;0;0;0;0;"Becoming a Berkeley Changemakerª.
Meet New Cal Students at Summer.
Welcome Parties.
The Leadership Award Scholarship Finalist. Interviews July Ð August.";0
July 23 2020;" Summer reading list, powered by Berkeley; rights icon Donna Hitchens, plus more Cal alumni making a difference ";Berkeley admits Most Ethically Diverse Class in 30+ years.;0;"Berkeley Admits Most Ethnically Diverse Class in 30+ Years.
Cal Alumni Guide Scholars Through Uncertainty.
Donna Hitchens M.A., J.D. Õ77 Never Dreamed of Law, Yet Changed the System.
California Magazine Wins Highest Honors in 2020 CASE Circle of Excellence Awards.
The Edge Podcast Episode 2: WhatÕs in a Name?
Summer Reading List, Brought to You by Berkeley.";0;0;0;0;0;"Fireside Chats at the Lair of the Golden Bear.
Alumni-Hosted Summer Welcome Parties 
for New Students.
The Leadership Award Scholarship Finalist Interviews.";0
Jun-20;What matters: Our collective calling, adapting to COVID-19, and more. ;0;0;"Let There Be Light.
UC Statement on Protests, Violence Following George FloydÕs Death.
On George Floyd and the Struggle to Belong.
Celebrating the Graduating Class of Alumni Scholars.
Meet the 44 Incoming Recipients of the African American Initiative Scholarship.
Coronavirus Has Changed the Game for Alumni Travelers.
Margaretta Lin M.A. Õ91, J.D. Õ91 Finds Her Voice for the Voiceless.
A Radical Transformation: Susan StrykerÕs Fight for Trans Visibility.";0;"Cal Alumni Rally Online to Support the UC Berkeley Community.
Class of Õ70 Alumni: Submit a Story and Photo to the 50th Reunion Memory Book.
Chancellor Christ Speaks at Virtual Commencement.";0;"Housing Insecure Students Face an Uncertain Future.
Q&A: Cameras, Police, the Dangers of a Constantly Monitored Society.
One ManÕs Search for BaseballÕs Underdogs. 
Berkeley Professors Share Their Tips for Surviving Online Classes.";0;"Are Chinese Americans Stuck in the Middle of US-China Conflict? An Evening with Frank Wu.
Virtual Scholarship Finalist Interviews.
WATCH: Berkeley Conversations: ÒCalifornia Poll Findings and What they Mean for our FutureÓ.
WATCH: Blockeley, UC BerkeleyÕs Online Minecraft Commencement.
WATCH: The Berkeley NetworkÕs Career Webinars.";0
Mar-20; California's first African American woman attorney, coronavirus, Big Give;0;0;"Announcing UC BerkeleyÕs 2020 AchievementÊAward Recipients.
Annie Virginia Stephens Coker Õ24, J.D. Õ29: CaliforniaÕs First African American Woman Attorney.
Nine Young Faculty Named 2020 Sloan Fellows, the Brightest Up-and-Coming Scientists in the US and Canada.";0;0;0;"Why Moms 4 Housing Is Such A Big Deal.
Greetings From Atascadero: A Reporter Confronts His Facebook Foes.
WhatÕs the Big Deal? Experts Unpack the Coronavirus Outbreak.
Feminism, Meet Romance Novels.";0;"Cal Club of San Joaquin: Basketball Watch Party Cal vs. Oregon.
Japanese American Women Alumnae of UC Berkeley: 30th Annual Scholarship Award Luncheon.
Career Connections.
Overnight Stay Program.
Cal Alumni Day of Service.
Bear Music Fest Discover, Featuring the T Sisters.
Cal Day. 
Big Game Night at the San Francisco Giants.";0
